—редн€€ смертность и рождаемость по регионам –оссии 
Ќазвание региона                        —редн€€ смертность                    —редн€€ рождаемость
Republic of Adygea                        14.092857142857143                      11.289285714285715
Altai Krai                        14.342857142857145                      10.882142857142858
Amur Oblast                        13.896428571428569                      12.264285714285716
Arkhangelsk Oblast                        14.489285714285714                      10.839285714285714
Astrakhan Oblast                        13.278571428571428                      12.421428571428573
Republic of Bashkortostan                        12.849999999999996                      12.464285714285717
Belgorod Oblast                        14.682142857142853                      9.964285714285714
Bryansk Oblast                        16.689285714285713                      9.935714285714283
Republic of Buryatia                        12.503571428571428                      14.528571428571428
Vladimir Oblast                        17.260714285714283                      9.514285714285714
Volgograd Oblast                        14.235714285714284                      10.114285714285714
Vologda Oblast                        15.860714285714286                      10.985714285714286
Voronezh Oblast                        16.571428571428573                      9.196428571428571
Republic of Dagestan                        6.124999999999999                      18.414285714285718
Jewish Autonomous Oblast                        14.414285714285713                      12.542857142857141
Zabaykalsky Krai                        13.532142857142858                      14.099999999999998
Ivanovo Oblast                        18.27142857142857                      9.196428571428571
Republic of Ingushetia                        3.7499999999999996                      15.917857142857143
Irkutsk Oblast                        14.164285714285713                      13.075000000000001
Kabardino-Balkar Republic                        9.467857142857145                      13.346428571428575
Kaliningrad Oblast                        14.135714285714286                      10.132142857142858
Republic of Kalmykia                        10.325                      14.146428571428574
Kaluga Oblast                        16.264285714285716                      9.589285714285714
Kamchatka Krai                        10.910714285714286                      11.028571428571428
Karachay-Cherkess Republic                        10.23214285714286                      12.842857142857138
Republic of Karelia                        15.628571428571432                      10.435714285714285
Kemerovo Oblast                        15.710714285714289                      11.000000000000002
Kirov Oblast                        16.092857142857145                      10.22857142857143
Kostroma Oblast                        17.467857142857145                      10.264285714285716
Krasnodar Krai                        14.242857142857138                      11.135714285714286
Krasnoyarsk Krai                        13.328571428571427                      11.685714285714282
Republic of Crimea                        1.6035714285714284                      1.7285714285714284
Kurgan Oblast                        15.553571428571429                      11.317857142857141
Kursk Oblast                        17.328571428571433                      9.789285714285715
Leningrad Oblast                        16.575                      8.167857142857143
Lipetsk Oblast                        15.903571428571423                      9.692857142857141
Magadan Oblast                        11.496428571428568                      10.832142857142854
Mari El Republic                        14.021428571428569                      11.624999999999996
Republic of Mordovia                        14.821428571428571                      9.278571428571427
Moscow                        12.2                      9.12857142857143
Moscow Oblast                        15.364285714285717                      9.342857142857143
Murmansk Oblast                        11.121428571428572                      9.885714285714288
Nenets Autonomous Okrug                        11.035714285714283                      15.153571428571427
Nizhny Novgorod Oblast                        16.86428571428571                      9.578571428571431
Novgorod Oblast                        19.107142857142854                      9.80714285714286
Novosibirsk Oblast                        13.842857142857142                      11.096428571428572
